id,text,emojis,sticker_tags,label,split
197,"This is useless, start over.",🤬😤🤬,facepalm,impolite,test
198,Are you serious with this draft?,😑😤,facepalm,impolite,test
199,It’s not my job to explain this again.,💀👏,facepalm,impolite,train
200,Thanks for looping me in on this thread.,🥰🤣,party,polite,train
201,Stop wasting my time and fix it.,😡🥵,facepalm,impolite,train
202,Your insights were very valuable—thanks!,🙂,smile,polite,test
203,Unbelievable—how can you miss this?,😑,thumbsdown,impolite,train
204,That’s a terrible suggestion.,💀👏😡,boo,impolite,val
205,"Many thanks, the update was super helpful.",✨,thumbsup,polite,val
206,Thanks for looping me in on this thread.,🤗🥵,clap,polite,train
207,Thanks a lot for your help today!,✨,thumbsup,polite,train
208,Please let me know if I can support in any way.,🤗🎉,heart,polite,train
209,That’s a terrible suggestion.,😑✨,angry,impolite,val
210,"Would you mind checking this once more, please?",👍🥵,clap,polite,train
211,Happy to help—just say the word.,🥰🤣,ok,polite,train
212,Could you please share the file when you have a moment?,🥰👏,thumbsup,polite,val
213,This is embarrassing.,😒🥵,eyeroll,impolite,train
214,Read the instructions properly for once.,😒🥵,boo,impolite,train
215,Unbelievable—how can you miss this?,👎,rage,impolite,train
216,You keep making the same mistakes.,🤬,eyeroll,impolite,test
217,You keep making the same mistakes.,🙄,facepalm,impolite,test
218,It would be great if you could confirm the agenda.,😇✨,thumbsup,polite,train
219,I really appreciate your quick response.,🙂🔥,party,polite,train
220,I’m grateful for your patience with this.,🙂😂,heart,polite,test
221,I’m grateful for your patience with this.,😊🎉,party,polite,test
222,What part of this is hard to get?,😒🤣,eyeroll,impolite,train
223,"This is useless, start over.",😡🔥,thumbsdown,impolite,test
224,Stop sending me half-baked work.,😠,rage,impolite,train
225,I really appreciate your quick response.,🥰✨,thumbsup,polite,train
226,"If it’s okay, can we move this meeting to tomorrow?",👍🙌,thumbsup,polite,train
227,"No worries at all, take your time.",👍🥵,ok,polite,train
228,Stop wasting my time and fix it.,💀😑,rage,impolite,train
229,"I told you already, just do it.",👎🎉,angry,impolite,train
230,Are you serious with this draft?,😒👏,sad,impolite,test
231,You clearly don’t understand the basics.,💀😤,rage,impolite,val
232,Kindly review the attachment and share feedback.,👍👏,smile,polite,train
233,"I told you already, just do it.",🙄,angry,impolite,train
234,Please feel free to suggest improvements.,🥰👍,clap,polite,train
235,I’m not your babysitter.,💀👏😡,sad,impolite,val
236,"I told you already, just do it.",😒🥵,angry,impolite,train
237,Stop wasting my time and fix it.,💀🥵,thumbsdown,impolite,train
238,Great job on the report—well done!,🙏✨,clap,polite,test
239,Why didn’t you send the file yet?,💢🎉,eyeroll,impolite,train
240,Thanks for looping me in on this thread.,🤗,party,polite,train
241,Appreciate the clarification—thank you!,🤗🤗,smile,polite,val
242,Please let me know if I can support in any way.,🙌🤣,heart,polite,train
243,"Sorry for the delay, I’ll send it now.",👍🔥,ok,polite,train
244,You clearly don’t understand the basics.,😒,rage,impolite,val
245,I’m grateful for your patience with this.,😊,thumbsup,polite,test
246,"Many thanks, the update was super helpful.",👍✨,smile,polite,val
247,This is embarrassing.,😑💢,thumbsdown,impolite,train
248,"No worries at all, take your time.",💖,ok,polite,train
249,You keep making the same mistakes.,🙄🎉😒,facepalm,impolite,test
250,Fix the mess you created.,😒🎉,boo,impolite,train
251,That’s a terrible suggestion.,🤬🎉,sad,impolite,val
252,I really appreciate your quick response.,🥰🙂,smile,polite,train
253,Thanks for looping me in on this thread.,🙏✨🙏,thumbsup,polite,train
254,Stop sending me half-baked work.,😠,angry,impolite,train
255,"I told you already, just do it.",💢🤯😑,thumbsdown,impolite,train
256,Could you please share the file when you have a moment?,🤗🙏,heart,polite,val
257,"Sorry for the delay, I’ll send it now.",🤗,hug,polite,train
258,"Mind giving this a quick look, please?",✨👏😊,hug,polite,train
259,"Would you mind checking this once more, please?",💖,hug,polite,train
260,I’m grateful for your patience with this.,✨,ok,polite,test
261,Appreciate the clarification—thank you!,👍✨,hug,polite,val
262,"Mind giving this a quick look, please?",🤗😊,thumbsup,polite,train
263,"If it’s okay, can we move this meeting to tomorrow?",🤗✨,ok,polite,train
264,Fix the mess you created.,💢✨,sad,impolite,train
265,Great job on the report—well done!,🙏✨,party,polite,test
266,Unbelievable—how can you miss this?,🤬🔥,facepalm,impolite,train
267,Are you serious with this draft?,👎,boo,impolite,test
268,What part of this is hard to get?,😡🔥,rage,impolite,train
269,Stop wasting my time and fix it.,🙄🙄,boo,impolite,train
270,Kindly review the attachment and share feedback.,😊,thumbsup,polite,train
271,That’s a terrible suggestion.,🤬,thumbsdown,impolite,val
272,"Mind giving this a quick look, please?",🥰,hug,polite,train
273,Read the instructions properly for once.,👎,eyeroll,impolite,train
274,That’s a terrible suggestion.,🙄🤯,boo,impolite,val
275,Read the instructions properly for once.,💀🤯👎,rage,impolite,train
276,Thanks a lot for your help today!,😇😂,hug,polite,train
277,Your insights were very valuable—thanks!,✨,smile,polite,test
278,It’s not my job to explain this again.,😠,eyeroll,impolite,train
279,Stop wasting my time and fix it.,😡😤😡,rage,impolite,train
280,That was very thoughtful of you.,✨,smile,polite,train
281,It would be great if you could confirm the agenda.,😇,ok,polite,train
282,Kindly review the attachment and share feedback.,🤗🔥✨,smile,polite,train
283,This is wrong—did you even read the brief?,💢,facepalm,impolite,train
284,Happy to help—just say the word.,🥰,hug,polite,train
285,"Do it now, no excuses.",😠🔥,thumbsdown,impolite,train
286,It’s not my job to explain this again.,😡🥵💢,boo,impolite,train
287,I really appreciate your quick response.,🤗😤,party,polite,train
288,"Many thanks, the update was super helpful.",🤗,thumbsup,polite,val
289,Happy to help—just say the word.,👍,clap,polite,train
290,Kindly review the attachment and share feedback.,👍😤😊,clap,polite,train
291,"This is useless, start over.",💢,sad,impolite,test
292,Please let me know if I can support in any way.,✨😂,thumbsup,polite,train
293,It would be great if you could confirm the agenda.,👍,clap,polite,train
294,Thanks for looping me in on this thread.,💖,ok,polite,train
295,Appreciate the clarification—thank you!,🙂😂✨,ok,polite,val
296,That’s a terrible suggestion.,💢,boo,impolite,val
297,"No worries at all, take your time.",💖👏,smile,polite,train
298,That’s a terrible suggestion.,💢🔥💢,sad,impolite,val
299,Are you serious with this draft?,💀🤬,boo,impolite,test
300,"I don’t care, just finish it.",💀🎉,facepalm,impolite,test
301,"Sorry for the delay, I’ll send it now.",🤗✨,clap,polite,train
302,Your insights were very valuable—thanks!,🙂😤,clap,polite,test
303,"Would you mind checking this once more, please?",🤗,party,polite,train
304,I’m grateful for your patience with this.,✨,party,polite,test
305,"If it’s okay, can we move this meeting to tomorrow?",🥰🤯,clap,polite,train
306,"Do it now, no excuses.",🤬🥵😡,thumbsdown,impolite,train
307,Stop sending me half-baked work.,🤬😂,eyeroll,impolite,train
308,Appreciate the clarification—thank you!,🙂😂🙌,thumbsup,polite,val
309,That’s a terrible suggestion.,😒,sad,impolite,val
310,I’m not your babysitter.,😒🔥,angry,impolite,val
311,"This is useless, start over.",💢,thumbsdown,impolite,test
312,"No worries at all, take your time.",✨😂,ok,polite,train
313,What part of this is hard to get?,🙄👏,sad,impolite,train
314,Don’t ping me again until it’s done.,😑,eyeroll,impolite,train
315,"I don’t care, just finish it.",😑,angry,impolite,test
316,Unbelievable—how can you miss this?,💢🎉,facepalm,impolite,train
317,Happy to help—just say the word.,🙌🎉✨,hug,polite,train
318,I really appreciate your quick response.,🤗👍,hug,polite,train
319,"No worries at all, take your time.",🤗,thumbsup,polite,train
320,I’m not your babysitter.,😡😒,eyeroll,impolite,val
321,"No worries at all, take your time.",🥰,thumbsup,polite,train
322,"No worries at all, take your time.",😇🔥,heart,polite,train
323,Fix the mess you created.,😒,facepalm,impolite,train
324,I really appreciate your quick response.,🙏,clap,polite,train
325,Unbelievable—how can you miss this?,😒,angry,impolite,train
326,Your insights were very valuable—thanks!,🤗😂,party,polite,test
327,Thanks a lot for your help today!,👍🙏,heart,polite,train
328,You keep making the same mistakes.,😑🤯,eyeroll,impolite,test
329,"Sorry for the delay, I’ll send it now.",🤗🤣,smile,polite,train
330,"If it’s okay, can we move this meeting to tomorrow?",🙌✨,thumbsup,polite,train
331,"Do it now, no excuses.",🙄,thumbsdown,impolite,train
332,Stop sending me half-baked work.,😑🥵,angry,impolite,train
333,Are you serious with this draft?,👎,boo,impolite,test
334,Your insights were very valuable—thanks!,😊🤯,smile,polite,test
335,This is embarrassing.,💀,sad,impolite,train
336,Don’t ping me again until it’s done.,👎,boo,impolite,train
337,"Mind giving this a quick look, please?",🤗🤯,thumbsup,polite,train
338,That’s a terrible suggestion.,😑🥵,thumbsdown,impolite,val
339,I’m not your babysitter.,😡👏😠,angry,impolite,val
340,It would be great if you could confirm the agenda.,🙌,hug,polite,train
341,You clearly don’t understand the basics.,👎👏,boo,impolite,val
342,"Sorry for the delay, I’ll send it now.",🤗,party,polite,train
343,Thanks a lot for your help today!,💖🔥,smile,polite,train
344,Don’t ping me again until it’s done.,😠,boo,impolite,train
345,Please let me know if I can support in any way.,👍,party,polite,train
346,I really appreciate your quick response.,✨,ok,polite,train
347,"Many thanks, the update was super helpful.",✨,thumbsup,polite,val
348,I really appreciate your quick response.,😇✨🙂,hug,polite,train
349,Fix the mess you created.,💢🤣,sad,impolite,train
350,Why didn’t you send the file yet?,🤬🤯,rage,impolite,train
